id,season,n_knots,n_months,exact,max_dlon,max_dlat,max_dt_s,seconds
2021023,2021,275,6,TRUE,0,0,4.76837158203125e-07,243.55
2021025,2021,477,9,TRUE,0,0,4.76837158203125e-07,365.53
2021026,2021,478,9,TRUE,0,0,4.76837158203125e-07,286.16
2021027,2021,488,9,TRUE,0,0,4.76837158203125e-07,293.6
2021028,2021,468,8,TRUE,0,0,4.76837158203125e-07,283.77
2021031,2021,352,6,TRUE,0,0,4.76837158203125e-07,213.62
2021032,2021,496,9,TRUE,0,0,4.76837158203125e-07,304.13
2021033,2021,476,8,TRUE,0,0,4.76837158203125e-07,415.14
2021034,2021,459,8,TRUE,0,0,4.76837158203125e-07,524.34
2021035,2021,477,9,TRUE,0,0,4.76837158203125e-07,619.05
2022039,2022,324,6,TRUE,0,0,4.76837158203125e-07,319.68
2022040,2022,488,9,TRUE,0,0,4.76837158203125e-07,480
2022041,2022,485,9,TRUE,0,0,4.76837158203125e-07,474.85
2022042,2022,493,9,TRUE,0,0,4.76837158203125e-07,477.1
2022043,2022,486,9,TRUE,0,0,4.76837158203125e-07,468.6
2022046,2022,486,9,TRUE,0,0,4.76837158203125e-07,472.78
2023030,2023,490,9,TRUE,0,0,4.76837158203125e-07,495
2023032,2023,465,9,TRUE,0,0,4.76837158203125e-07,495.49
2023034,2023,627,12,TRUE,0,0,4.76837158203125e-07,637.61
2023035,2023,463,9,TRUE,0,0,4.76837158203125e-07,465.49
2023036,2023,506,9,TRUE,0,0,4.76837158203125e-07,502.66
2023037,2023,492,9,TRUE,0,0,4.76837158203125e-07,498.49
2023038,2023,466,8,TRUE,0,0,4.76837158203125e-07,469.97
2023039,2023,482,8,TRUE,0,0,4.76837158203125e-07,496.56
2023040,2023,398,7,TRUE,0,0,4.76837158203125e-07,400.7
2022044,2022,479,9,TRUE,0,0,4.76837158203125e-07,466.66
2022045,2022,457,9,TRUE,0,0,4.76837158203125e-07,285.81
2022048,2022,467,8,TRUE,0,0,4.76837158203125e-07,300.28
2023041,2023,466,8,TRUE,0,0,4.76837158203125e-07,465.74
