arm,id,season,family,serial,calibrated,n_knots,n_scored,frac_scored,median_km,mean_km,q90_km,bias_lat,rmse_lat,bias_lon,rmse_lon,lat_sd,lon_sd,cover_lat,cover_lon,log_z
hier_light,2021023,2021,Mk9_219,2190018,TRUE,274,262,0.956,156.4,182.4,365.2,-0.212,1.797,0.367,0.805,1.401,1.242,0.901,1,
hier_light,2021025,2021,Mk9_219,2190020,TRUE,476,455,0.956,159.3,190.6,332.1,-1.264,1.929,0.2,0.578,1.466,1.235,0.908,1,
hier_light,2021026,2021,Mk9_219,2190022,TRUE,477,459,0.962,234.6,274.1,575.8,-1.261,2.898,0.686,0.901,1.205,1.127,0.545,1,
hier_light,2021027,2021,Mk9_219,2190047,TRUE,487,464,0.953,172.9,219.5,463.3,-1.508,2.365,0.25,0.634,1.26,1.244,0.705,1,
hier_light,2021028,2021,Mk9_219,2190039,TRUE,467,453,0.97,189.8,261.5,616.4,-1.91,2.998,0.278,0.68,1.561,1.272,0.79,1,
hier_light,2021031,2021,Mk9_219,2190062,TRUE,351,340,0.969,206.1,299,699.3,-1.597,3.424,0.314,0.796,1.753,1.498,0.732,1,
hier_light,2021032,2021,Mk9_219,2190072,TRUE,495,474,0.958,669.1,688.7,1077.3,0.745,6.755,-0.073,0.964,1.502,1.339,0.133,0.996,
hier_light,2021033,2021,Mk9_219,2190068,TRUE,475,452,0.952,186.8,227,427.8,-1.704,2.355,0.162,0.648,1.129,1.227,0.591,1,
hier_light,2021034,2021,Mk9_219,2190071,TRUE,458,439,0.959,232,291.8,619.9,-1.892,3.165,0.238,0.617,1.365,1.149,0.617,1,
hier_light,2021035,2021,Mk9_219,2190065,TRUE,476,446,0.937,340.8,349.1,731.7,-1.267,3.688,0.415,0.756,1.606,1.293,0.498,1,
hier_light,2022039,2022,Mk9_219,2190051,TRUE,323,78,0.241,224.1,241.9,352.7,0.99,2.55,0.093,1.248,1.178,1.491,0.628,0.949,
hier_light,2022040,2022,Mk9_219,2190014,TRUE,487,103,0.211,478.7,518.7,878,-3.142,5.013,1.578,1.859,1.271,1.188,0.214,0.777,
hier_light,2022041,2022,Mk9_219,2190018,TRUE,484,467,0.965,320,308.9,629.3,-1.645,3.292,0.776,1.249,1.481,1.324,0.555,0.919,
hier_light,2022042,2022,Mk9_219,2190068,TRUE,492,423,0.86,376.7,466,915.1,-1.165,4.938,0.128,0.762,1.514,1.288,0.338,1,
hier_light,2022043,2022,Mk9_219,2190071,TRUE,485,459,0.946,363.7,325.4,449,0.265,3.088,0.236,0.554,0.979,0.926,0.22,0.998,
hier_light,2022046,2022,Mk9_219,2190072,TRUE,485,476,0.981,212.3,263.9,675,-1.175,3.003,0.093,0.553,1.436,1.254,0.683,1,
hier_light,2023030,2023,Mk9_219,2190018,TRUE,489,378,0.773,242.1,244.5,416.1,-1.473,2.345,0.644,1.026,1.23,1.141,0.55,0.992,
