arm,id,engine,seconds,n_knots,n_cells,n_obs,sec_per_knot,sec_per_knot_cell,sec_per_tag_day
ffbs_fusion,2021027,TwilightFreeSMC(ffbs),72.83,488,1000,11686,0.1492,0.0001492,0.2992
ffbs_fusion,2023032,TwilightFreeSMC(ffbs),69.94,465,1000,11132,0.1504,0.0001504,0.3016
ffbs_fusion,2023039,TwilightFreeSMC(ffbs),72.76,482,1000,11526,0.151,0.000151,0.303
ffbs_light,2021027,TwilightFreeSMC(ffbs),72.77,488,1000,11686,0.1491,0.0001491,0.2989
ffbs_light,2023032,TwilightFreeSMC(ffbs),70.62,465,1000,11132,0.1519,0.0001519,0.3045
ffbs_light,2023039,TwilightFreeSMC(ffbs),72.86,482,1000,11526,0.1512,0.0001512,0.3034
grid_cal_pertag,2021023,TwilightFreeGrid,164.36,275,5000,6570,0.5977,0.0001195,1.2008
grid_cal_pertag,2021025,TwilightFreeGrid,286.24,477,5000,11425,0.6001,0.00012,1.2027
grid_cal_pertag,2021026,TwilightFreeGrid,287.89,478,5000,11438,0.6023,0.0001205,1.2083
grid_cal_pertag,2021027,TwilightFreeGrid,293,488,5000,11686,0.6004,0.0001201,1.2035
grid_cal_pertag,2021028,TwilightFreeGrid,280.99,468,5000,11206,0.6004,0.0001201,1.2038
grid_cal_pertag,2021031,TwilightFreeGrid,214.28,352,5000,8412,0.6088,0.0001218,1.2228
grid_cal_pertag,2021032,TwilightFreeGrid,299.95,496,5000,11868,0.6047,0.0001209,1.2133
grid_cal_pertag,2021033,TwilightFreeGrid,288.14,476,5000,11386,0.6053,0.0001211,1.2148
grid_cal_pertag,2021034,TwilightFreeGrid,275.58,459,5000,10991,0.6004,0.0001201,1.2036
grid_cal_pertag,2021035,TwilightFreeGrid,286.51,477,5000,11416,0.6006,0.0001201,1.2047
grid_cal_pertag,2022039,TwilightFreeGrid,193.7,324,5000,7747,0.5978,0.0001196,1.2003
grid_cal_pertag,2022040,TwilightFreeGrid,293.3,488,5000,11684,0.601,0.0001202,1.2049
grid_cal_pertag,2022041,TwilightFreeGrid,291.94,485,5000,11596,0.6019,0.0001204,1.2086
grid_cal_pertag,2022042,TwilightFreeGrid,295.75,493,5000,11791,0.5999,0.00012,1.2039
grid_cal_pertag,2022043,TwilightFreeGrid,291.61,486,5000,11635,0.6,0.00012,1.203
grid_cal_pertag,2022044,TwilightFreeGrid,288.87,479,5000,11467,0.6031,0.0001206,1.2092
grid_cal_pertag,2022045,TwilightFreeGrid,274.47,457,5000,10925,0.6006,0.0001201,1.2059
grid_cal_pertag,2022046,TwilightFreeGrid,291.51,486,5000,11618,0.5998,0.00012,1.2044
grid_cal_pertag,2022048,TwilightFreeGrid,280.65,467,5000,11170,0.601,0.0001202,1.2061
grid_cal_pertag,2023030,TwilightFreeGrid,294.19,490,5000,11732,0.6004,0.0001201,1.2036
grid_cal_pertag,2023032,TwilightFreeGrid,279.08,465,5000,11132,0.6002,0.00012,1.2035
grid_cal_pertag,2023034,TwilightFreeGrid,376.43,627,5000,15014,0.6004,0.0001201,1.2035
grid_cal_pertag,2023035,TwilightFreeGrid,278.64,463,5000,11088,0.6018,0.0001204,1.2062
grid_cal_pertag,2023036,TwilightFreeGrid,304.89,506,5000,12107,0.6025,0.0001205,1.2088
grid_cal_pertag,2023037,TwilightFreeGrid,295.58,492,5000,11764,0.6008,0.0001202,1.206
grid_cal_pertag,2023038,TwilightFreeGrid,280.36,466,5000,11147,0.6016,0.0001203,1.2073
grid_cal_pertag,2023039,TwilightFreeGrid,289.05,482,5000,11526,0.5997,0.0001199,1.2037
grid_cal_pertag,2023040,TwilightFreeGrid,239,398,5000,9525,0.6005,0.0001201,1.2043
grid_cal_pertag,2023041,TwilightFreeGrid,280.25,466,5000,11159,0.6014,0.0001203,1.2055
grid_cal_untrunc,2021023,TwilightFreeGrid,164.98,275,5000,6570,0.5999,0.00012,1.2054
grid_cal_untrunc,2021025,TwilightFreeGrid,286.83,477,5000,11425,0.6013,0.0001203,1.2052
grid_cal_untrunc,2021026,TwilightFreeGrid,288.51,478,5000,11438,0.6036,0.0001207,1.2109
grid_cal_untrunc,2021027,TwilightFreeGrid,294.71,488,5000,11686,0.6039,0.0001208,1.2106
grid_cal_untrunc,2021028,TwilightFreeGrid,281.69,468,5000,11206,0.6019,0.0001204,1.2068
grid_cal_untrunc,2021031,TwilightFreeGrid,210.6,352,5000,8412,0.5983,0.0001197,1.2018
grid_cal_untrunc,2021032,TwilightFreeGrid,297.86,496,5000,11868,0.6005,0.0001201,1.2048
grid_cal_untrunc,2021033,TwilightFreeGrid,286.06,476,5000,11386,0.601,0.0001202,1.206
grid_cal_untrunc,2021034,TwilightFreeGrid,275.92,459,5000,10991,0.6011,0.0001202,1.2051
grid_cal_untrunc,2021035,TwilightFreeGrid,287.39,477,5000,11416,0.6025,0.0001205,1.2084
grid_cal_untrunc,2022039,TwilightFreeGrid,194.49,324,5000,7747,0.6003,0.0001201,1.2052
grid_cal_untrunc,2022040,TwilightFreeGrid,294.28,488,5000,11684,0.603,0.0001206,1.2089
grid_cal_untrunc,2022041,TwilightFreeGrid,292.53,485,5000,11596,0.6032,0.0001206,1.211
grid_cal_untrunc,2022042,TwilightFreeGrid,297.74,493,5000,11791,0.6039,0.0001208,1.212
grid_cal_untrunc,2022043,TwilightFreeGrid,292.17,486,5000,11635,0.6012,0.0001202,1.2053
grid_cal_untrunc,2022044,TwilightFreeGrid,288.08,479,5000,11467,0.6014,0.0001203,1.2059
grid_cal_untrunc,2022045,TwilightFreeGrid,274.42,457,5000,10925,0.6005,0.0001201,1.2057
grid_cal_untrunc,2022046,TwilightFreeGrid,292.19,486,5000,11618,0.6012,0.0001202,1.2072
grid_cal_untrunc,2022048,TwilightFreeGrid,280,467,5000,11170,0.5996,0.0001199,1.2033
grid_cal_untrunc,2023030,TwilightFreeGrid,295.01,490,5000,11732,0.6021,0.0001204,1.2069
grid_cal_untrunc,2023032,TwilightFreeGrid,279.36,465,5000,11132,0.6008,0.0001202,1.2047
grid_cal_untrunc,2023034,TwilightFreeGrid,377.17,627,5000,15014,0.6015,0.0001203,1.2058
grid_cal_untrunc,2023035,TwilightFreeGrid,278.36,463,5000,11088,0.6012,0.0001202,1.205
grid_cal_untrunc,2023036,TwilightFreeGrid,304.47,506,5000,12107,0.6017,0.0001203,1.2071
grid_cal_untrunc,2023037,TwilightFreeGrid,299.18,492,5000,11764,0.6081,0.0001216,1.2207
